time	V(n003)	V(n004)
3.625807100203438e-03	1.027947e+00	-7.106835e-03
3.665807100203478e-03	1.187638e+00	-8.633124e-03
3.705807100203518e-03	1.283462e+00	-9.616962e-03
3.745807100203558e-03	1.314735e+00	-9.996530e-03
3.763441272112034e-03	1.307389e+00	-9.964359e-03
3.786876636596492e-03	1.278894e+00	-9.732768e-03
3.824840146013364e-03	1.185998e+00	-8.914621e-03
3.864840146013404e-03	1.025635e+00	-7.507749e-03
3.904840146013444e-03	8.029954e-01	-5.629138e-03
3.944840146013484e-03	5.233264e-01	-3.396828e-03
3.984840146013524e-03	1.963627e-01	-9.510820e-04
4.024840146013564e-03	-1.620573e-01	1.554424e-03
4.064840146013604e-03	-5.294295e-01	3.962259e-03
4.104840146013644e-03	-8.775811e-01	6.121131e-03
4.144840146013684e-03	-1.175490e+00	7.895391e-03
4.184840146013724e-03	-1.393590e+00	9.173553e-03
4.224840146013764e-03	-1.508663e+00	9.875307e-03
4.255582787258794e-03	-1.519171e+00	9.993848e-03
4.274089836638573e-03	-1.492038e+00	9.885668e-03
4.304168198615343e-03	-1.395486e+00	9.426382e-03
4.344168198615384e-03	-1.177975e+00	8.300069e-03
4.384168198615424e-03	-8.813530e-01	6.652232e-03
4.424168198615464e-03	-5.348032e-01	4.586410e-03
4.464168198615504e-03	-1.689773e-01	2.232407e-03
4.504168198615544e-03	1.887772e-01	-2.618657e-04
4.544168198615584e-03	5.156101e-01	-2.739685e-03
4.584168198615624e-03	7.958720e-01	-5.045359e-03
4.624168198615664e-03	1.019748e+00	-7.034015e-03
4.664168198615704e-03	1.182039e+00	-8.580699e-03
4.704168198615744e-03	1.280509e+00	-9.588225e-03
4.744168198615784e-03	1.314435e+00	-9.993288e-03
4.762831607580731e-03	1.307556e+00	-9.967517e-03
4.785885212871266e-03	1.280258e+00	-9.746884e-03
4.823241997454542e-03	1.190773e+00	-8.959668e-03
4.863241997454582e-03	1.032948e+00	-7.573699e-03
4.903241997454622e-03	8.127091e-01	-5.711847e-03
4.943241997454662e-03	5.351480e-01	-3.491099e-03
4.983241997454702e-03	2.097932e-01	-1.050992e-03
5.023241997454742e-03	-1.477822e-01	1.455153e-03
5.063241997454782e-03	-5.153284e-01	3.869865e-03
5.103241997454822e-03	-8.648577e-01	6.041419e-03
5.143241997454862e-03	-1.165382e+00	7.833369e-03
5.183241997454902e-03	-1.387185e+00	9.133119e-03
5.223241997454942e-03	-1.506701e+00	9.859001e-03
5.254975453742428e-03	-1.520065e+00	9.995114e-03
5.273101114354639e-03	-1.494592e+00	9.894844e-03
5.302565059471687e-03	-1.402629e+00	9.459529e-03
5.342565059471727e-03	-1.188821e+00	8.355829e-03
5.382565059471767e-03	-8.948108e-01	6.727101e-03
5.422565059471807e-03	-5.496478e-01	4.675685e-03
5.462565059471847e-03	-1.840167e-01	2.330479e-03
5.502565059471887e-03	1.745813e-01	-1.611605e-04
5.542565059471927e-03	5.030177e-01	-2.642673e-03
5.582565059471967e-03	7.853928e-01	-4.958137e-03
5.622565059472007e-03	1.011670e+00	-6.962063e-03
5.662565059472047e-03	1.176501e+00	-8.528537e-03
5.702565059472087e-03	1.277557e+00	-9.559131e-03
5.742565059472127e-03	1.314079e+00	-9.989090e-03
5.762234871458549e-03	1.307746e+00	-9.970467e-03
5.784914698572563e-03	1.281597e+00	-9.760335e-03
5.821676713890445e-03	1.195394e+00	-9.002913e-03
5.861676713890485e-03	1.040059e+00	-7.637553e-03
5.901676713890525e-03	8.221806e-01	-5.792297e-03
5.941676713890565e-03	5.467029e-01	-3.583090e-03
5.981676713890605e-03	2.229495e-01	-1.148744e-03
6.021676713890645e-03	-1.337594e-01	1.357781e-03
6.061676713890685e-03	-5.014307e-01	3.778992e-03
6.101676713890725e-03	-8.522569e-01	5.962756e-03
6.141676713890765e-03	-1.155296e+00	7.771857e-03
6.181676713890805e-03	-1.380686e+00	9.092624e-03
6.221676713890845e-03	-1.504534e+00	9.842068e-03
6.254378974801300e-03	-1.520847e+00	9.996215e-03
6.272130018686761e-03	-1.496969e+00	9.903485e-03
6.300989957062408e-03	-1.409420e+00	9.491161e-03
6.340989957062448e-03	-1.199292e+00	8.409787e-03
6.380989957062488e-03	-9.078952e-01	6.799996e-03
6.420989957062528e-03	-5.641486e-01	4.762937e-03
6.460989957062568e-03	-1.987556e-01	2.426605e-03
6.500989957062608e-03	1.606309e-01	-6.220044e-05
6.540989957062648e-03	4.906159e-01	-2.547097e-03
6.580989957062688e-03	7.750477e-01	-4.871950e-03
6.620989957062728e-03	1.003676e+00	-6.890681e-03
6.660989957062768e-03	1.170995e+00	-8.476445e-03
6.700989957062808e-03	1.274591e+00	-9.529602e-03
6.740989957062848e-03	1.313663e+00	-9.983980e-03
6.761648110576779e-03	1.307956e+00	-9.973230e-03
6.783960302415459e-03	1.282911e+00	-9.773210e-03
6.820136637015417e-03	1.199883e+00	-9.044612e-03
6.860136637015457e-03	1.047000e+00	-7.699657e-03
6.900136637015497e-03	8.314543e-01	-5.870905e-03
6.940136637015537e-03	5.580412e-01	-3.673262e-03
6.980136637015577e-03	2.358904e-01	-1.244814e-03
7.020136637015617e-03	-1.199317e-01	1.261849e-03
7.060136637015657e-03	-4.876800e-01	3.689226e-03
7.100136637015697e-03	-8.397346e-01	5.884796e-03
7.140136637015737e-03	-1.145199e+00	7.710602e-03
7.180136637015777e-03	-1.374083e+00	9.051923e-03
7.220136637015817e-03	-1.502172e+00	9.824477e-03
7.253790430677642e-03	-1.521535e+00	9.997164e-03
7.271171803377441e-03	-1.499191e+00	9.911651e-03
7.299435240529006e-03	-1.415908e+00	9.521470e-03
7.339435240529046e-03	-1.209450e+00	8.462240e-03
7.379435240529086e-03	-9.206820e-01	6.871295e-03
7.419435240529126e-03	-5.783824e-01	4.848602e-03
7.459435240529166e-03	-2.130775e-01	2.521253e-03
7.499435240529206e-03	1.468546e-01	3.548481e-05
7.539435240529246e-03	4.783391e-01	-2.452513e-03
7.579435240529286e-03	7.647848e-01	-4.786411e-03
7.619435240529326e-03	9.957223e-01	-6.819561e-03
7.659435240529366e-03	1.165494e+00	-8.424212e-03
7.699435240529406e-03	1.271594e+00	-9.499540e-03
7.739435240529446e-03	1.313183e+00	-9.977977e-03
7.761068400834681e-03	1.308180e+00	-9.975827e-03
7.783017277670390e-03	1.284204e+00	-9.785585e-03
7.818614161783422e-03	1.204258e+00	-9.085001e-03
